"word1";"word2";"ES.1";"ES.2";"POS";"score";"SimLex999";"conc(w1)";"conc(w2)";"concQ";"Assoc(USF)";"SimAssoc333";"SD(SimLex)"
"rat";"mouse";"rata";"ratón";"N";"0.87";"7.78";"4.85";"4.83";4;"0.87";1;"0.93"
"motor";"engine";"motor";;"N";"0.87";"8.65";"4.84";"4.86";4;"0.87";1;"1.47"
"car";"cab";"automóvil";"táxi";"N";"0.87";"7.42";"4.89";"4.88";4;"0.87";1;"1.15"
"cat";"lion";"gato";"león";"N";"0.85";"6.75";"4.86";"4.96";4;"0.85";1;"0.84"
"size";"magnitude";"tamaño";"magnitud";"N";"0.84";"6.33";"3.13";"2.43";2;"0.84";1;"0.59"
"reality";"fantasy";"realidad";"fantasía";"N";"0.83";"1.03";"1.72";"1.59";1;"0.83";1;"0.89"
"door";"gate";"puerta";"portal";"N";"0.83";"5.25";"4.81";"4.96";4;"0.83";1;"1.47"
"cat";"pet";"gato";"mascota";"N";"0.82";"5.95";"4.86";"4.71";4;"0.82";1;"1.41"
"tin";"aluminum";"estaño";"aluminio";"N";"0.82";"6.42";"4.87";"4.88";4;"0.82";1;"1.3"
"bone";"jaw";"hueso";"mandíbula";"N";"0.82";"4.17";"4.9";"4.87";4;"0.82";1;"0.44"
"cereal";"wheat";"cereal";"trigo";"N";"0.81";"3.75";"4.83";"4.89";4;"0.81";1;"1.72"
"house";"key";"casa";"llave";"N";"0.8";"1.9";5;"4.89";4;"0.8";1;"1.09"
"blood";"flesh";"sangre";"carne";"N";"0.79";"4.28";"4.86";"4.59";3;"0.79";1;"1.74"
"door";"corridor";"puerta";"pasillo";"N";"0.79";"3.73";"4.81";"4.72";4;"0.79";1;"1.11"
"god";"spirit";"dios";"espíritu";"N";"0.77";"7.3";"2.07";"1.6";1;"0.77";1;"1.63"
"capability";"competence";"capacidad";"competencia";"N";"0.77";"7.62";"1.93";"1.78";1;"0.77";1;"0.84"
"abundance";"plenty";"abundancia";"montón";"N";"0.77";"8.97";"2.21";"2.39";1;"0.77";1;"1.02"
"sofa";"chair";"sofá";"silla";"N";"0.77";"6.67";"4.9";"4.58";4;"0.77";1;"1.56"
"wall";"brick";"pared";"ladrillo";"N";"0.77";"4.68";"4.86";"4.83";4;"0.77";1;"1.16"
"horn";"drum";"cuerno";"tambor";"N";"0.77";"2.68";5;"4.96";4;"0.77";1;"0.47"
"organ";"liver";"órgano";"hígado";"N";"0.76";"6.15";"4.77";"4.68";3;"0.76";1;"1.12"
"strength";"might";"fuerza";"fortaleza";"N";"0.74";"7.07";"2.96";"2.32";2;"0.74";1;"0.8"
"phrase";"word";"frase";"palabra";"N";"0.74";"5.48";"2.86";"3.56";2;"0.74";1;"1.73"
"band";"parade";"banda";"desfile";"N";"0.74";"3.92";"4.68";"4.54";3;"0.74";1;"1.74"
"stomach";"waist";"estómago";"cintura";"N";"0.74";"5.9";"4.89";"4.72";4;"0.74";1;"1.49"
"cloud";"storm";"nube";"tormenta";"N";"0.73";"5.6";"4.54";"4.7";3;"0.73";1;"1.47"
"joy";"pride";"alegría";"orgullo";"N";"0.72";5;"2.37";"1.66";1;"0.72";1;"0.9"
"noise";"rattle";"ruido";"sonajero";"N";"0.72";"6.17";"3.52";"4.07";3;"0.72";1;"1.33"
"rain";"mist";"lluvia";"niebla";"N";"0.71";"5.97";"4.97";"4.51";4;"0.71";1;"1.83"
"beer";"beverage";"cerveza";"bebida";"N";"0.71";"5.42";"4.88";"4.6";4;"0.71";1;"1.34"
"man";"uncle";"hombre";"tío";"N";"0.7";"3.92";"4.79";"4.24";3;"0.7";1;"1.36"
"apple";"juice";"manzana";"jugo";"N";"0.7";"2.88";5;"4.89";4;"0.7";1;"1.65"
"intelligence";"logic";"inteligencia";"lógica";"N";"0.68";"6.5";"2.24";"1.72";1;"0.68";1;"1.2"
"communication";"language";"comunicación";"lenguaje";"N";"0.68";"7.47";"2.9";"2.35";2;"0.68";1;"1.09"
"mink";"fur";;;"N";"0.68";"6.83";"4.58";"4.69";3;"0.68";1;"0.39"
"mob";"crowd";"mafia";"multitud";"N";"0.67";"7.85";"3.88";"4.52";3;"0.67";1;"1.2"
"shore";"coast";;;"N";"0.67";"8.83";"4.79";"4.21";3;"0.67";1;"1.53"
"wire";"cord";"alambre";"cable";"N";"0.67";"7.62";"4.72";"4.63";3;"0.67";1;"1.35"
"bird";"turkey";"ave";"pavo";"N";"0.67";"6.58";5;"4.89";4;"0.67";1;"1.6"
"bed";"crib";"cama";"cuna";"N";"0.65";"7.3";5;"4.86";4;"0.65";1;"1.56"
"competence";"ability";"competencia";"abilidad";"N";"0.63";"7.5";"1.78";"1.81";1;"0.63";1;"0.6"
"cloud";"haze";"nube";"bruma";"N";"0.63";"7.32";"4.54";"4.04";3;"0.63";1;"1.68"
"supper";"meal";"cena";"comida";"N";"0.63";"7.53";"4.63";"4.62";3;"0.63";1;"0.47"
"bar";"cage";"bar";"jaula";"N";"0.63";"2.8";"4.67";5;4;"0.63";1;"0.51"
"water";"salt";"agua";"sal";"N";"0.63";"1.3";5;"4.89";4;"0.63";1;"0.94"
"sense";"intuition";"sentido";"intuición";"N";"0.62";"7.68";"2.61";"1.67";1;"0.62";1;"1.24"
"situation";"condition";"situación";"condición";"N";"0.61";"6.58";"2.03";"2.15";1;"0.61";1;"1.41"
"crime";"theft";"crimen";"robo";"N";"0.61";"7.53";"3.03";"2.93";2;"0.61";1;"1.32"
"style";"fashion";"estilo";"moda";"N";"0.61";"8.5";"2.67";"3.43";2;"0.61";1;"0.87"
"boundary";"border";"frontera";"borde";"N";"0.61";"9.08";"3.04";"4.29";2;"0.61";1;"0.44"
"arm";"body";"brazo";"cuerpo";"N";"0.61";"4.05";"4.96";"4.79";4;"0.61";1;"0.51"
"boat";"car";"barco";"coche";"N";"0.61";"2.37";"4.93";"4.89";4;"0.61";1;"1.17"
"sandwich";"lunch";"sándwich";"almuerzo";"N";"0.58";"6.3";"4.9";"4.31";3;"0.58";1;"1.53"
"bride";"princess";"novia";"princesa";"N";"0.58";"2.8";"4.63";"4.72";3;"0.58";1;"0.92"
"heroine";"hero";"heroína";"héroe";"N";"0.56";"8.78";"4.21";"3.07";2;"0.56";1;"1.79"
"car";"gauge";"automóvil";"medidor";"N";"0.56";"1.13";"4.89";4;3;"0.56";1;"1.47"
"insect";"bee";"insecto";"abeja";"N";"0.55";"6.07";"4.89";"4.88";4;"0.55";1;"1.34"
"crib";"cradle";"cuna";;"N";"0.55";"8.55";"4.86";"4.93";4;"0.55";1;"1.15"
"animal";"person";"animal";"persona";"N";"0.54";"3.05";"4.61";"4.72";3;"0.54";1;"1.38"
"marijuana";"herb";"marihuana";"hierba";"N";"0.54";"6.5";"4.89";"4.57";3;"0.54";1;"0.59"
"bed";"hospital";"cama";"hospital";"N";"0.54";"0.92";5;"4.64";4;"0.54";1;"1.35"
"cheek";"tongue";"mejilla";"lengua";"N";"0.54";"4.52";"4.83";"4.93";4;"0.54";1;"0.47"
"disc";"computer";"disco";"computadora";"N";"0.54";"3.2";"4.85";"4.93";4;"0.54";1;"0.44"
"curve";"angle";"curva";"ángulo";"N";"0.53";"3.33";"4.41";"3.5";3;"0.53";1;"1.51"
"grass";"moss";"hierba";"musgo";"N";"0.53";5;"4.93";"4.9";4;"0.53";1;"1.27"
"school";"law";"escuela";"ley";"N";"0.52";"1.13";"4.79";"2.57";2;"0.52";1;"1.49"
"foot";"head";"pie";"cabeza";"N";"0.52";"2.3";"4.9";"4.75";4;"0.52";1;"0.62"
"mother";"guardian";"madre";"guardián";"N";"0.51";"6.5";"4.6";"3.28";3;"0.51";1;"1.13"
"orthodontist";"dentist";"ortodoncista";"dentista";"N";"0.51";"8.27";"4.43";"4.93";3;"0.51";1;"1.47"
"alcohol";"whiskey";"alcohol";"whiky";"N";"0.51";"7.27";"4.76";"4.74";4;"0.51";1;"1.19"
"mouth";"tooth";"boca";"diente";"N";"0.51";"6.3";"4.74";"4.89";4;"0.51";1;"1.39"
"breakfast";"bacon";"desayuno";"tocino";"N";"0.5";"4.37";"4.43";"4.9";3;"0.5";1;"1.46"
"bathroom";"bedroom";"baño";"dormitorio";"N";"0.5";"3.4";"4.52";"4.9";3;"0.5";1;"1.73"
"plate";"bowl";"plato";"tazón";"N";"0.5";"5.23";"4.77";"4.87";4;"0.5";1;"1.46"
"meat";"bacon";"carne";"tocino";"N";"0.5";"5.8";"4.9";"4.9";4;"0.5";1;"1.5"
"air";"helium";"aire";"helio";"N";"0.49";"3.63";"4.11";"3.96";3;"0.49";1;"1.59"
"worker";"employer";"trabajador";"empleador";"N";"0.49";"5.37";"4.59";"3.81";3;"0.49";1;"1.4"
"body";"chest";"cuerpo";"pecho";"N";"0.49";"4.45";"4.79";"4.93";4;"0.49";1;"1.45"
"son";"father";"hijo";"padre";"N";"0.48";"3.82";"4.14";"4.52";3;"0.48";1;"1.75"
"heart";"surgery";"corazón";"cirugía";"N";"0.48";"1.08";"4.52";"4.34";3;"0.48";1;"1.07"
"woman";"secretary";"mujer";"secretaria";"N";"0.48";"1.98";"4.46";"4.54";3;"0.48";1;"1.6"
"man";"father";"hombre";"padre";"N";"0.48";"4.83";"4.79";"4.52";3;"0.48";1;"1.62"
"beach";"island";"playa";"isla";"N";"0.48";"5.6";"4.79";"4.96";4;"0.48";1;"0.39"
"story";"topic";"historia";"tema";"N";"0.47";5;"3.3";"2.59";2;"0.47";1;"1.7"
"game";"fun";"juego";"diversión";"N";"0.47";"3.42";"4.5";"1.97";2;"0.47";1;"2.07"
"weekend";"week";;"semana";"N";"0.47";4;"3.83";"3.48";2;"0.47";1;"1.57"
"couple";"pair";"pareja";"par";"N";"0.47";"8.33";"3.93";"3.88";3;"0.47";1;"1.5"
"woman";"wife";"mujer";"esposa";"N";"0.47";"5.72";"4.46";"4.13";3;"0.47";1;"1.35"
"sheep";"cattle";"oveja";"ganado";"N";"0.47";"4.77";"4.9";"4.64";4;"0.47";1;"0.47"
"purse";"bag";"bolso";"bolsa";"N";"0.47";"8.33";"4.9";"4.9";4;"0.47";1;"1.39"
"ceiling";"cathedral";"techo";"catedral";"N";"0.46";"2.42";"4.85";"4.86";4;"0.46";1;"1.57"
"bean";"coffee";"frijol";"café";"N";"0.46";"5.15";5;"4.81";4;"0.46";1;"1.52"
"wood";"paper";"madera";"papel";"N";"0.44";"2.88";"4.85";"4.93";4;"0.44";0;"1.55"
"top";"side";"superior";"lateral";"N";"0.43";"1.9";"3.93";"3.68";3;"0.43";0;"1.29"
"crime";"fraud";"delito";"fraude";"N";"0.42";"5.65";"3.03";"1.68";1;"0.42";0;"1.18"
"pain";"harm";"dolor";"daño";"N";"0.42";"5.38";"3.5";"2.62";2;"0.42";0;"0.95"
"lover";"companion";"amante";"compañero";"N";"0.42";"5.97";"3.68";"3.75";3;"0.42";0;"0.8"
"evening";"dusk";"tarde";"anochecer";"N";"0.42";"7.78";"3.26";"4.24";3;"0.42";0;"1.32"
"father";"daughter";"padre";"hija";"N";"0.42";"2.62";"4.52";"4.79";3;"0.42";0;"1.69"
"wine";"liquor";"vino";"licor";"N";"0.42";"7.85";"4.79";"4.73";4;"0.42";0;"0.78"
"cow";"goat";"vaca";"cabra";"N";"0.42";"2.93";"4.96";5;4;"0.42";0;"0.59"
"belief";"opinion";"creencia";"opinión";"N";"0.41";"7.7";"1.19";"1.93";1;"0.41";0;"1.24"
"reality";"illusion";"realidad";"ilusión";"N";"0.41";"1.42";"1.72";"2.48";1;"0.41";0;"1.36"
"pact";"agreement";"pacto";"acuerdo";"N";"0.41";"9.02";"2.52";"2.22";1;"0.41";0;"1.2"
"wealth";"poverty";"riqueza";"pobreza";"N";"0.41";"1.27";"2.63";"2.54";1;"0.41";0;"1.47"
"accident";"emergency";"accidente";"emergencia";"N";"0.41";"4.93";"3.26";"2.41";2;"0.41";0;"0.49"
"battle";"conquest";"batalla";"conquista";"N";"0.41";"7.22";4;"2.54";2;"0.41";0;"0.89"
"friend";"teacher";"amigo";"profesor";"N";"0.41";"2.62";"3.07";"4.52";3;"0.41";0;"1.29"
"illness";"infection";"enfermedad";"infección";"N";"0.41";"6.9";"3.54";"4.1";3;"0.41";0;"1.28"
"game";"trick";"juego";"truco";"N";"0.41";"2.32";"4.5";"3.36";3;"0.41";0;"1.02"
"brother";"son";"hermano";"hijo";"N";"0.41";"3.48";"4.43";"4.14";3;"0.41";0;"1.61"
"aunt";"nephew";"tía";"sobrino";"N";"0.41";"3.1";"4.17";"4.48";3;"0.41";0;"1.31"
"worker";"mechanic";"trabajador";"mecánico";"N";"0.41";"4.92";"4.59";"4.38";3;"0.41";0;"1.2"
"doctor";"orthodontist";"médico";"ortodoncista";"N";"0.41";"5.58";"4.69";"4.43";3;"0.41";0;"1.25"
"oak";"maple";"roble";"maple";"N";"0.41";"6.03";"4.82";"4.46";3;"0.41";0;"0.39"
"bee";"queen";"abeja";"reina";"N";"0.41";"3.27";"4.88";"4.45";3;"0.41";0;"1.2"
"car";"bicycle";"automóvil";"bicicleta";"N";"0.41";"3.47";"4.89";"4.89";4;"0.41";0;"1.68"
"goal";"quest";"metal";"misión";"N";"0.4";"5.83";"3.06";"2.87";2;"0.4";0;"1.31"
"august";"month";"agosto";"mes";"N";"0.4";"5.53";"3.04";"4.2";2;"0.4";0;"1.54"
"army";"squad";"ejércicto";"escuadrilla";"N";"0.4";"5.08";"4.7";"3.65";3;"0.4";0;"1.61"
"cloud";"weather";"nube";"clima";"N";"0.4";"4.87";"4.54";"3.83";3;"0.4";0;"0.94"
"physician";"doctor";"doctor";"médico";"N";"0.4";"8.88";"4.65";"4.69";3;"0.4";0;"1.5"
"canyon";"valley";"cañón";"valle";"N";"0.4";"6.75";"4.81";"4.72";4;"0.4";0;"1.39"
"river";"valley";"río";"valle";"N";"0.4";"1.67";"4.89";"4.72";4;"0.4";0;"1.23"
"sun";"sky";"sol";"cielo";"N";"0.39";"2.27";"4.83";"4.45";3;"0.39";0;"1.67"
"target";"arrow";"objetivo";"flecha";"N";"0.38";"3.25";"4.11";"4.97";3;"0.38";0;"1.74"
"chocolate";"pie";"chocolate";"pastel";"N";"0.38";"2.27";"4.72";"4.92";4;"0.38";0;"1.79"
"circumstance";"situation";"circunstancia";"situación";"N";"0.36";"7.85";"1.77";"2.03";1;"0.36";0;"1.31"
"opinion";"choice";"opinión";"elección";"N";"0.36";"5.43";"1.93";"1.9";1;"0.36";0;"1.5"
"rhythm";"melody";"ritmo";"melodía";"N";"0.36";"6.12";"3.07";"3.71";2;"0.36";0;"1.27"
"gut";"nerve";"tripa";"nerviosa";"N";"0.36";"4.93";"4.15";"3.89";3;"0.36";0;"1.65"
"day";"dawn";"día";"amanecer";"N";"0.36";"5.47";"3.92";"4.46";3;"0.36";0;"1.45"
"cattle";"beef";"ganado";"res";"N";"0.36";"7.03";"4.64";"4.74";3;"0.36";0;"1.53"
"doctor";"professor";"médico";"profesor";"N";"0.36";"4.65";"4.69";"4.86";4;"0.36";0;"1.19"
"arm";"vein";"brazo";"vena";"N";"0.36";"3.65";"4.96";"4.63";4;"0.36";0;"1.62"
"room";"bath";"habitación";"baño";"N";"0.36";"3.33";"4.79";"4.85";4;"0.36";0;"0.49"
"corporation";"business";"corporación";"negocio";"N";"0.35";"9.02";"2.79";"3.28";2;"0.35";0;"1.44"
"fun";"football";"diversión";"fútbol";"N";"0.35";"1.97";"1.97";"4.73";2;"0.35";0;"1.43"
"hill";"cliff";"colina";"acantilado";"N";"0.35";"4.28";"4.93";"4.71";4;"0.35";0;"1.26"
"bone";"ankle";"hueso";"tobillo";"N";"0.35";"3.82";"4.9";"4.81";4;"0.35";0;"0.69"
"apple";"candy";"manzana";"caramelo";"N";"0.35";"2.08";5;"4.83";4;"0.35";0;"0.75"
"helper";"maid";"ayudante";;"N";"0.34";"5.58";"3.39";"4.64";3;"0.34";0;"0.44"
"leader";"manager";"líder";"gerente";"N";"0.34";"7.27";"3.89";"4.14";3;"0.34";0;"1.43"
"lemon";"tea";"limón";"té";"N";"0.34";"1.6";5;"4.69";4;"0.34";0;"1.33"
"bee";"ant";"abeja";"hormiga";"N";"0.34";"2.78";"4.88";"4.86";4;"0.34";0;"1.04"
"basketball";"baseball";"baloncesto";"béisbol";"N";"0.34";"4.92";"4.97";"4.86";4;"0.34";0;"0.93"
"rice";"bean";"arroz";"frijol";"N";"0.34";"2.72";"4.86";5;4;"0.34";0;"1.27"
"bed";"furniture";"cama";"mueble";"N";"0.34";"6.08";5;"4.89";4;"0.34";0;"0.84"
"emotion";"passion";"emoción";"pasión";"N";"0.33";"7.72";"2.44";"2.3";1;"0.33";0;"1.3"
"anarchy";"chaos";"anarquía";"caos";"N";"0.33";"7.93";"2.12";"2.79";1;"0.33";0;"1.35"
"crime";"violation";"delito";"violación";"N";"0.33";"7.12";"3.03";"2.67";2;"0.33";0;"0.87"
"machine";"engine";"máquina";"motor";"N";"0.33";"5.58";"4.25";"4.86";3;"0.33";0;"1.95"
"beach";"sea";"playa";"mar";"N";"0.33";"4.68";"4.79";"4.79";4;"0.33";0;"1.08"
"alley";"bowl";"callejón";"tazón";"N";"0.33";"1.53";"4.82";"4.87";4;"0.33";0;"0.51"
"jar";"bottle";"tarro";"botella";"N";"0.33";"7.83";5;"4.91";4;"0.33";0;"1.44"
"strength";"capability";"fuerza";"capacidad";"N";"0.32";"5.28";"2.96";"1.93";1;"0.32";0;"1.33"
"seed";"mustard";"semilla";"mostaza";"N";"0.32";"3.48";"4.71";"4.93";4;"0.32";0;"0.59"
"guitar";"drum";"guitarra";"tambor";"N";"0.32";"3.78";"4.9";"4.96";4;"0.32";0;"1.72"
"opinion";"idea";"opinión";"idea";"N";"0.31";"5.7";"1.93";"1.61";1;"0.31";0;"1.29"
"north";"west";"norte";"oeste";"N";"0.31";"3.63";"4.14";"3.44";3;"0.31";0;"1.6"
"diet";"salad";"dieta";"ensalada";"N";"0.31";"2.98";"3.21";"4.97";3;"0.31";0;"1.6"
"mother";"wife";"madre";"esposa";"N";"0.31";"3.02";"4.6";"4.13";3;"0.31";0;"1.62"
"dad";"mother";"papá";"madre";"N";"0.31";"3.55";"4.29";"4.6";3;"0.31";0;"1.44"
"captain";"sailor";"capitán";"marinero";"N";"0.31";5;"4.19";"4.86";3;"0.31";0;"1.43"
"meter";"yard";"metro";;"N";"0.31";"5.6";"4.7";"4.82";4;"0.31";0;"1.32"
"beer";"champagne";"cerveza";"champán";"N";"0.31";"4.45";"4.88";"4.82";4;"0.31";0;"1.2"
"motor";"boat";"motor";"barco";"N";"0.31";"2.57";"4.84";"4.93";4;"0.31";0;"1.45"
"card";"bridge";"tarjeta";"puente";"N";"0.31";"1.97";"4.9";"4.97";4;"0.31";0;"1.69"
"science";"psychology";"ciencia";"psicología";"N";"0.3";"4.92";"2.79";"2.31";1;"0.3";0;"1.91"
"sinner";"saint";"pecador";"santo";"N";"0.3";"1.6";"3.07";"3.45";2;"0.3";0;"1.39"
"destruction";"construction";"destrucción";"construcción";"N";"0.3";"0.98";"3.21";"3.72";2;"0.3";0;"1.69"
"crowd";"bunch";"multitud";"grupo";"N";"0.3";"7.42";"4.52";"3.5";3;"0.3";0;"1.37"
"beach";"reef";"playa";"arrecifes";"N";"0.3";"3.77";"4.79";"4.7";4;"0.3";0;"1.85"
"man";"child";"hombre";"niño";"N";"0.3";"4.13";"4.79";"4.78";4;"0.3";0;"1.34"
"bread";"cheese";"pan";"queso";"N";"0.3";"1.95";"4.92";"4.7";4;"0.3";0;"1.52"
"champion";"winner";"campión";"ganador";"N";"0.29";"8.73";"3.82";"3.21";2;"0.29";0;"1.15"
"celebration";"ceremony";"celebración";"ceremonia";"N";"0.29";"7.72";"3.47";"3.57";2;"0.29";0;"0.61"
"menu";"order";"menú";"orden";"N";"0.29";"3.62";"4.67";"2.79";3;"0.29";0;"1.42"
"king";"princess";"rey";"princesa";"N";"0.29";"3.27";"4.1";"4.72";3;"0.29";0;"1.7"
"wealth";"prestige";"riqueza";"prestigio";"N";"0.28";"6.07";"2.63";"1.61";1;"0.28";0;"1.55"
"endurance";"strength";"resistencia";"fuerza";"N";"0.28";"6.58";2;"2.96";1;"0.28";0;"0.59"
"danger";"threat";"peligro";"amenaza";"N";"0.28";"8.78";"2.68";"2.52";2;"0.28";0;"1.56"
"god";"priest";"dios";"sacerdote";"N";"0.28";"4.5";"2.07";"4.77";2;"0.28";0;"1.2"
"men";"fraternity";"hombres";"fraternidad";"N";"0.28";"3.13";"4.75";"2.46";2;"0.28";0;"1.11"
"buddy";"companion";"compañero";"companía";"N";"0.28";"8.65";"3.48";"3.75";2;"0.28";0;"1.64"
"teacher";"helper";"profesor";"ayudante";"N";"0.28";"4.28";"4.52";"3.39";3;"0.28";0;"1.65"
"body";"stomach";"cuerpo";"estomago";"N";"0.28";"3.93";"4.79";"4.89";4;"0.28";0;"1.15"
"tongue";"throat";"lengua";"garganta";"N";"0.28";"3.1";"4.93";"4.97";4;"0.28";0;"1.31"
"house";"carpet";"casa";"alfombra";"N";"0.28";"1.38";5;"4.96";4;"0.28";0;"1.44"
"intelligence";"skill";"inteligencia";"habilidad";"N";"0.27";"5.35";"2.24";"2.17";1;"0.27";0;"1.29"
"journey";"conquest";"jornada";"conquista";"N";"0.27";"4.72";"2.57";"2.54";1;"0.27";0;"1.12"
"god";"prey";"dios";"rezo";"N";"0.27";"1.23";"2.07";"3.61";2;"0.27";0;"1.73"
"brother";"soul";"hermano";"alma";"N";"0.27";"0.97";"4.43";"1.86";2;"0.27";0;"1.18"
"adversary";"opponent";"adversario";"oponente";"N";"0.27";"9.05";"2.93";"3.52";2;"0.27";0;"1.4"
"death";"catastrophe";"muerte";"catástrofe";"N";"0.27";"4.13";"3.73";"2.96";2;"0.27";0;"1.46"
"monster";"demon";"monstruo";"demonio";"N";"0.27";"6.95";"3.72";"3.32";2;"0.27";0;"1.5"
"day";"morning";"día";"mañana";"N";"0.27";"4.87";"3.92";"3.44";2;"0.27";0;"1.95"
"man";"victor";"hombre";"vencedor";"N";"0.27";"1.9";"4.79";"2.88";3;"0.27";0;"1.67"
"friend";"guy";"amigo";"chico";"N";"0.27";"3.88";"3.07";"4.68";3;"0.27";0;"1.49"
"song";"story";"canción";"historia";"N";"0.27";"3.97";"4.46";"3.3";3;"0.27";0;"1.27"
"ray";"sunshine";"rayo";"brillo";"N";"0.27";"6.83";"3.57";"4.21";3;"0.27";0;"1.55"
"guy";"stud";"chico";"espárrago";"N";"0.27";"5.83";"4.68";4;3;"0.27";0;"1.7"
"chicken";"rice";"pollo";"arroz";"N";"0.27";"1.43";"4.8";"4.86";4;"0.27";0;"1.47"
"box";"elevator";"caja";"ascensor";"N";"0.27";"1.32";"4.9";"4.79";4;"0.27";0;"1.28"
"butter";"potato";"manteca";"papa";"N";"0.27";"1.22";"4.9";"4.85";4;"0.27";0;"1.19"
"apartment";"furniture";"apartamento";"mobiliario";"N";"0.27";"1.28";"4.9";"4.89";4;"0.27";0;"1.72"
"lake";"swamp";"lago";"pantano";"N";"0.27";"4.92";"4.88";"4.96";4;"0.27";0;"1.6"
"salad";"vinegar";"ensalada";"vinagre";"N";"0.27";"1.13";"4.97";"4.89";4;"0.27";0;"1.65"
"flower";"bulb";"flor";"bulbo";"N";"0.27";"4.48";5;"4.93";4;"0.27";0;"1.27"
"cloud";"mist";"nube";"niebla";"N";"0.26";"6.67";"4.54";"4.51";3;"0.26";0;"1.43"
"driver";"pilot";"conductor";"piloto";"N";"0.26";"6.28";"4.71";"4.67";3;"0.26";0;"1.52"
"sugar";"honey";"azúcar";"miel";"N";"0.26";"5.13";"4.87";"4.88";4;"0.26";0;"1.07"
"body";"shoulder";"cuerpo";"hombro";"N";"0.25";"2.88";"4.79";"4.93";4;"0.25";0;"1.47"
"idea";"image";"idea";"imágen";"N";"0.24";"3.55";"1.61";"3.85";2;"0.24";0;"1.47"
"father";"brother";"padre";"hermano";"N";"0.24";"4.2";"4.52";"4.43";3;"0.24";0;"1.28"
"moon";"planet";"luna";"planeta";"N";"0.24";"5.87";"4.9";"4.58";4;"0.24";0;"1.57"
"ball";"costume";"pelota";"vestimenta";"N";"0.24";"2.32";5;"4.57";4;"0.24";0;"1.02"
"rail";"fence";"ferrocarril";"valla";"N";"0.24";"5.22";"4.9";"4.82";4;"0.24";0;"1.17"
"room";"bed";"habitación";"cama";"N";"0.24";"2.35";"4.79";5;4;"0.24";0;"1.31"
"flower";"bush";"flor";"arbusto";"N";"0.24";"4.25";5;"4.9";4;"0.24";0;"1.66"
"bone";"knee";"hueso";"rodilla";"N";"0.24";"4.17";"4.9";5;4;"0.24";0;"1.64"
"arm";"knee";"brazo";"rodilla";"N";"0.24";"2.75";"4.96";5;4;"0.24";0;"0.59"
"bottom";"side";"inferior";"lateral";"N";"0.22";"2.63";"4.25";"3.68";3;"0.22";0;"1.51"
"vessel";"vein";;"vena";"N";"0.22";"5.15";"4.66";"4.63";3;"0.22";0;"1.55"
"cat";"rabbit";"gato";"conejo";"N";"0.22";"2.37";"4.86";"4.93";4;"0.22";0;"1.67"
"meat";"sandwich";"carne";"sándwich";"N";"0.22";"2.35";"4.9";"4.9";4;"0.22";0;"1.69"
"belief";"concept";"creencia";"concepto";"N";"0.21";"5.08";"1.19";"1.41";1;"0.21";0;"1.44"
"intelligence";"insight";"inteligencia";"visión";"N";"0.21";"5.9";"2.24";"1.72";1;"0.21";0;"1.59"
"attention";"interest";"atención";"interés";"N";"0.21";"7.22";"2.3";"1.8";1;"0.21";0;"1.21"
"attitude";"confidence";"actitud";"confianza";"N";"0.21";"4.35";"1.97";"2.17";1;"0.21";0;"1.22"
"right";"justice";"derecho";"justicia";"N";"0.21";"7.05";"3.47";"1.45";1;"0.21";0;"1.52"
"argument";"agreement";"argumento";"acuerdo";"N";"0.21";"1.45";"2.85";"2.22";1;"0.21";0;"1.36"
"depth";"magnitude";"profundidad";"magnitud";"N";"0.21";"6.12";"3.11";"2.43";2;"0.21";0;"1.64"
"medium";"news";"medio";"noticia";"N";"0.21";"3.65";3;"3.41";2;"0.21";0;"1.3"
"winner";"candidate";"ganador";"candidato";"N";"0.21";"2.78";"3.21";"3.81";2;"0.21";0;"1.29"
"birthday";"date";"cumpleaños";"fecha";"N";"0.21";"5.08";"3.2";"3.9";2;"0.21";0;"1.2"
"fee";"payment";"cuota";"pago";"N";"0.21";"7.15";"3.89";"3.91";3;"0.21";0;"1.56"
"bible";"hymn";"biblia";"himno";"N";"0.21";"5.15";"4.61";"4.04";3;"0.21";0;"1.08"
"exit";"doorway";"salida";"entrada";"N";"0.21";"5.5";"3.93";"4.75";3;"0.21";0;"1.73"
"man";"sentry";"hombre";"centinela";"N";"0.21";"3.25";"4.79";"4.04";3;"0.21";0;"1.22"
"aisle";"hall";;;"N";"0.21";"6.35";"4.35";"4.67";3;"0.21";0;"0.96"
"whiskey";"gin";"whisky";"ginebra";"N";"0.21";"6.28";"4.74";"4.46";3;"0.21";0;"1.14"
"blood";"marrow";"sangre";"médula";"N";"0.21";"3.4";"4.86";"4.48";3;"0.21";0;"1.17"
"oil";"mink";"aceite";;"N";"0.21";"1.23";"4.93";"4.58";4;"0.21";0;"1.53"
"floor";"deck";"piso";"cubierta";"N";"0.21";"5.55";"4.8";"4.77";4;"0.21";0;"1.06"
"roof";"floor";"techo";"piso";"N";"0.21";"2.62";"4.79";"4.8";4;"0.21";0;"1.66"
"door";"floor";"puerta";"piso";"N";"0.21";"1.67";"4.81";"4.8";4;"0.21";0;"0.39"
"shoulder";"head";"hombro";"cabeza";"N";"0.21";"3.42";"4.93";"4.75";4;"0.21";0;"1.14"
"wagon";"carriage";"vagón";"carro";"N";"0.21";"7.7";"4.89";"4.86";4;"0.21";0;"1.84"
