tuit,pol 
RT @404Salto: Un año de trabajo! #SomosEquipo #La404SaltoNoPara Gracias @CarlosAlbisu @adelgado404 y @LuisLacallePou https://t.co/3A4uXGquie,P
RT @40MunicipioE: Junto a @SenJavierGarcia después de unos buenos partidos de truco con los vecinos de la zona https://t.co/2OT1hgpz2q,NONE
"RT @FloridaIDF: Placa recordatoria Ex Intendente Andrés Arocena por visión y concreción Lago Sdí Gde. 
9 Julio.12 hs.Sarandí Grande. https:…",NONE
RT @sebairamendi: Gran Plenario del sector @TodosUy en Rivera. Compañeros comprometido para que @LuisLacallePou sea el prox presidente http…,P
RT @gloriasaravista: @bacedaprensa @LuisLacallePou @lista71 en el Municipio G con vecinos del complejo América https://t.co/qFTIN87r6w,NONE
RT @GERMANOLAZABAL: Breve descanso en el Taller de formación en Florida de @PNacionalJoven y @kasmontevideo https://t.co/jSfGeaN9kV,NONE
RT @laloirazabal: En la Junta Depal. de Durazno acompañando al edil Víctor Larregui  que acaba de asumir cómo Presidente. Mucho éxito https…,NONE
RT @Castillofran20: AHORA | Estamos grabando #DEBALCONESYJUVENTUDES por @Blancos_UY podes escuchar el próximo [Viernes 15/07 - 11HS] 💪 http…,NONE
"Chetos no somos, más bien terrajas por acá. https://t.co/5SxTXpF6bD",NEU
"RT @AnaLiaPineyrua: @ernesto_talvi @juanpedromir @CodigoPais No todo el sistema político,  el FA. Recordemos la campaña electoral y el énfa…",NONE
RT @bacedaprensa: #Entrevista a la Ec.Azucena Arbeleche asesora de @LuisLacallePou en el Semanario VOCES https://t.co/oGchj8CJtN https://t.…,NONE
"RT @CStopingi: Más que una placa recordatoria, un acto de justicia con Andrés Arocena en un lugar que el soñó y el hizo realidad. https://t…",P
"RT @bacedaprensa: #Entrevista al edil @Diego__RS en @RadioSarandi690 : ""El intendente no fue claro"". https://t.co/0VhZC4P4yX https://t.co/r…",NONE
"RT @niicomonta: Los esperamos a pasar una tarde diferente 💥💥💥
@jmbarcena @40MunicipioE @SenJavierGarcia @LuisLacallePou https://t.co/VCtiFP…",NONE
RT @CIafigliola: Gran Reunión de planificación de actividades en Sede MunicipioE con nuestra Barra252 @LaBarra40SC @ESPACIOCUARENTA https:/…,NONE
"RT @bacedaprensa: @LuisLacallePou  presentó un pedido de informes por acuerdo sobre ex presos de Guantánamo, https://t.co/efoCWr7PDW https:…",NONE
"RT @Herrerismo: @gloriasaravista interpelará a Arismendi por el Instituto Tiburcio Cachón
https://t.co/8BYTX5VJnk https://t.co/mwdRWHCJfW",NONE
RT @doloresgpa: Hoy se cumplen 60 años que mi bisabuelo Atilio Arrillaga Safons falleció en el Directorio del Partido Nacional https://t.co…,NONE
"RT @LourdesRapalin: Porque con esfuerzo y dedicación se puede , ellos son el ejemplo !!Este lunes 11 les entregamos el Pabellón Nacional ht…",P
"Sin perjuicio del resultado en el juicio, la política respecto al cigarrillo y los lugares para fumar fue exitosa. #ReconocerNoCuestaNada",P
"RT @jovenes404: Agradecemos a @MartinLema404 y a @ASHcomUY por excelente gestión y por hacer posible el cierre de Villa Dolores 

https://t…",P
"RT @tpnhya: El Domingo 10 de Julio miles de Niños Uruguayos que están alejados injustamente por la Justicia, no podrán estar con sus Padres…",N
RT @gloriasaravista: @LuisLacallePou @lista71 @Herrerismo CACHON 78 días sin repuesta autoridades de Gobierno #LaMinistraTieneLaPalabra htt…,N
RT @EricSpektor: Con el dip @juanjoolaizola recorrimos el taller Aerotecno en Melilla. Un rubro olvidado donde hay mucho para hacer https:/…,N
"RT @GERMANOLAZABAL: Educación y Salud, claves para el Uruguay Productivo. Hablan @MartinLema404  y @gbianchi404 . Martes 12 hora 19 hs. htt…",NEU
"RT @bacedaprensa: @MartinLema404 en CRÓNICAS : ""El FA se ha dedicado a gobernar para la estadística""  https://t.co/CDhmNCtDib https://t.co/…",N
"RT @Herrerismo: El zoológico no volverá a abrir (bien x @MartinLema404 y @ASHCOMUY)
https://t.co/7hY0AaIFAs
https://t.co/a8B81o0ULV https:/…",NONE
RT @bacedaprensa: El PN interpelará a Marina Arismendi por el traslado del Instituto Tiburcio Cachón https://t.co/FY30BNZkFW https://t.co/6…,NONE
RT @gloriasaravista: @LuisLacallePou @lista71  en complejo América junto ex Edil Di Ruocco y concejales Angélica Aguirre y  Gorfain https:/…,NONE
RT @bacedaprensa: @Diego__RS : El intendente “faltó el respeto” al acudir a la Junta y no responder preguntas. https://t.co/FvUbZvsfpQ http…,N
RT @gloriasaravista: @bacedaprensa @LuisLacallePou @lista71  culminando reunión Municipio E organizada por la compañera Julia Farkas https:…,NONE
RT @camboue: Ya están llegando y son cada día más uruguayas . 🐳🇺🇾 https://t.co/pVyrqNpUV5,NONE
"RT @jgamorin: Ahora todos se despegan. ""Compañeros"", votaron siempre juntos, son responsables. Dejen de querer engañar a la gente https://t…",N
RT @JimeOlascoaga: Siempre quise lanzar una candidatura: así que en este humilde y solemne acto anuncio mi candidatura a concejal vecinal d…,NONE
RT @ActualidadRT: Ponen a prueba al gigante flotante que limpiará de plástico los océanos https://t.co/GJtyswxSHW https://t.co/4pREz4MHh0,NONE
RT @victorhugo404: felicitaciones a la bancada de ediles @Diego__RS @JBarriosBove @ruffo_2015 @edildmartinez orgullo de ser blanco!!! https…,P
"Sarandí de Navarro, Río Negro, Uruguay.
https://t.co/numHNInr9N",NONE
RT @susypecoy: Sesionando la Junta Nacional de @TodosUy tema vivienda y deudores a pleno! @LuisLacallePou @PGustavoSanchez @CIafigliola @di…,NONE
"RT @Herrerismo: La interpelación del edil @Diego__RS  al intendente Daniel Martínez
https://t.co/eLrCea5Oej https://t.co/I5KC2viLWC",NONE
"RT @PanchoLavalleja: Cambio de Pte JDL @andreaaviaga asume !!!
Bancada PN en pleno. #LaUnionHaceLaFuerza #LavallejaBlanco https://t.co/ywfi…",NONE
"RT @NicolasLussich: ""Macri en Argentina tuvo la virtud de responder a lo que quería la gente: juntarse para generar una alternativa"", dice …",P
"RT @Herrerismo: Antes de que sea tarde (""fracking"": proyectos de @GerardoAmarilla y @alejoumpierrez)
https://t.co/oc2Gh27U1Z https://t.co/3…",NONE
RT @AireFresco_404: A solicitud del edil @Diego__RS hoy a las 16 horas concurrirá el intendente de Montevideo a Sala por cierre de la coope…,NONE
RT @GloriaInnova: Los partidos de la oposición brindaron pleno respaldo a los legisladores @gloriasaravista y Eduardo Rubio. https://t.co/v…,P
RT @Diego__RS: Totalmente insatisfactorias las respuestas del intendente por cierre de Raincoop. Una vergüenza para el usuario! https://t.c…,N
RT @JudithaVarela: Nos vemos hoy!!! Con la presencia de @adelgado404 @juanjoolaizola @MartinLema404 @gbianchi404 y @Diego__RS https://t.co/…,NONE
RT @facumarziotte: Comparto con ustedes algo que siento y escribí. @CarlosAlbisu @adelgado404 @LuisLacallePou @404Salto @Aire__Fresco https…,NONE
"RT @hpaguas: El Senado comenzó con traducción al lenguaje de señas en sus transmisiones en vivo. Más difusión, más democracia. https://t.co…",P
"RT @gbianchi404: En Comisión de Educación y Cultura de Diputados, recibiendo al CO.DI.CEN y al C.E.S. https://t.co/RXiOsysyI8",NONE
"RT @CarolAviaga: Emoción como madre, como legisladora reafirmación de compromiso c/el Uruguay Inclusivo, x1ra.vez LSU en el SENADO!!! https…",P
RT @juanjoolaizola: Hoy a las 12 Unasev concurre a Comision de Transporte de Diputados a nuestra solicitud por control de obras en rutas ht…,NONE
RT @CarolAviaga: En este momento asume la Presidencia de la Junta Departamental de Lavalleja @andreaaviaga de @TodosUy lista 404. https://t…,NONE
RT @gloriasaravista: @LuisLacallePou @lista71 usuarios Cachon 76 días sin repuesta autoridades de gobierno #LaMinistraTieneLaPalabra https:…,N
RT @SenJavierGarcia: Recién se aprobó convocatoria a Com.Defensa del Senado del Ministro FH y Comandantes para que informen sobre situación…,NONE
RT @doloresgpa: Este es el estado actual de la ruta Nacional N° 20 . Luego de años de bonanza no pueden estar así las rutas. https://t.co/D…,N
"Como explican T.V. y Astori la situación económica sólida  con el Ajuste Fiscal, el endeudamiento y el triste aumento a jubilados?",N
"RT @PelocheMathias: HOY a las 9 en @hoynoesundia debate entre @camboue y Berterreche sobre Desarrollo productivo, en @Cx30Uy https://t.co/8…",NONE
RT @PNACIONAL: DECLARACIÓN. Sobre la situación del C.de R. TIBURCIO CACHÓN - Partido Nacional - Sitio Oficial https://t.co/7zuw7JFWwe vía @…,NONE
"RT @ximeportillo: A las 1430 el Alcalde del @Municipio_CH, @Andresabt, estará tratando el tema Boliches en @LaTardeEnCasa . https://t.co/km…",NONE
"RT @JProComuna2: Nuestro local recibió la visita de Arturo Heber, que  vino a charlar con nostoros sobre política rioplatense. https://t.co…",NONE
RT @gloriasaravista: @bacedaprensa @LuisLacallePou @lista71  @Herrerismo en Directorio Partido Nacional tratando situación Centro Cachon ht…,NONE
"RT @Herrerismo: La pata y el lazo. @pdasilve 
https://t.co/hGd47JrQ5i https://t.co/N8Oslz4PgR",NONE
RT @josesatdjian404: Hoy a las 17hs en comisión de adicciones discutiremos nuestro proyecto de tolerancia cero a drogas en conductores http…,NONE
RT @JudithaVarela: En sesion del DIRECTORIO @PNACIONAL . Tema pruncipal situacion TIBURCIO CACHON. @veronica_alonso  @Luisaheber https://t.…,NONE
RT @juanjoolaizola: Excelente iniciativa del Dip @josesatdjian404 Control de marihuana y cocaína a choferes https://t.co/6G1VdRDJQY via @el…,P
RT @gbianchi404: Este miércoles CODICEN y CES en Comisión de Educación y Cultura de Diputados https://t.co/hrlGMfBXTh,NONE
RT @PNACIONAL: El PN convocará al gobierno por recortes en los beneficios anunciados por la Caja de Profesionales  https://t.co/4XIvBgGsX3…,NONE
RT @Herrerismo: [HOY] a las 12 hrs el diputado @GustavoPenades estará en @elpaistv con @Cybertario y @pauedurnemirel https://t.co/WsrIg9IKoh,NONE
RT @grupo_sturla: Porque la Transparencia en la Gestión se ejecuta no solo se pregona. Felicitaciones @Andresabt yequipo @Municipio_CH http…,P
RT @PDF404: Denunciar que Hopital inaugurado hace 2 años AÚN NO FUNCIONE para Murro es politiquería. ¿?  https://t.co/wggexEu7XX https://t.…,N
RT @Herrerismo: [HOY] a las 11 y 30 hrs el diputado @DipRodrigoGoni estará en @elpaistv con @Cybertario y @pauedurnemirel https://t.co/84H4…,NONE
RT @gloriasaravista: @LuisLacallePou @lista71  Usuarios CACHON 75 días sin repuesta autoridades de Gobierno#LaMinistraTieneLaPalabra https:…,N
"RT @Herrerismo: Una imagen, mil palabras:
Diputada @gloriasaravista presente durante el desalojo del Instituto Cachón por el Mides https://…",N
RT @GerardoAmarilla: Hoy recorrimos la feria de la Cuaró escuchando los planteos de los vecinos riverenses https://t.co/ze0Lp10pBB,NONE
RT @gloriasaravista: El saludo no se le niega a nadie Entraron ignorando a las personas ciegas y se retiraron sin dirigir la palabra   http…,N
RT @laloirazabal: Recibiendo en la Comisión de Presupuesto y Hacienda al Ministerio de Transportes encabezado por el Ministro Rossi. https:…,NONE
"RT @ACastaingdebat: El Cebolla, un gran futbolista, un enorme profesional pero sobre todo un gran amigo visitandonos en Flores. https://t.c…",P
"Falleció Paca Rossi, maestra ejemplar de varias generaciones en Canelones. Siempre generosa con su experiencia. Muchos la vamos a extrañar.",P
RT @Agucho001: Recorriendo el @MunicipioE ahora visitando el Club Union Atlética. C/ @ZikaPlatero  Dialogando sobre temas d la zona https:/…,NONE
RT @DrFLuquez: @LuisLacallePou https://t.co/kLUSHp6QR9,NONE
RT @Diego__RS: Recorriendo el Club Marne. Ganaron Presupuesto Participativo en 2011 y no recibieron nada. Una vergüenza lo de la IM https:/…,N
"RT @hugolecuona: Recorriendo municipio A, conversando con vecinos @SenJavierGarcia @ESPACIOCUARENTA  @LuisLacallePou https://t.co/detjaI4MtZ",NONE
RT @MatiasTM71: Hoy los @jovenes71 estuvimos reunidos con el Alcalde del Mun Ch @Andresabt un verdadero gobierno de cercanía 👏👏👏 https://t.…,P
RT @gloriasaravista: @bacedaprensa @Herrerismo @lista71 @LuisLacallePou  en INVE 16 A Malvin Norte vecinos preocupados peligro derrumbe htt…,N
"RT @OtroCanelones: AUDIO #DesalojoCachón @gloriasaravista ""Nos duele y molesta la Insensibilidad y la Soberbia""
https://t.co/hs03xMfNjG htt…",N
RT @JudithaVarela: Entrega del CACHON AL MIDES. @LuisLacallePou @adelgado404 @beatrizargimon @juanjoolaizola @CEFJOSEFAORIBE https://t.co/m…,NONE
RT @SusanaN400: @LuisLacallePou vivira siempre en nuestro corazon. https://t.co/ZlnrF8JVgj,P
RT @DipRodrigoGoni: Celebrando con @formateuy  los frutos del primer semestre de formación política https://t.co/PydLyfOYS1,NONE
RT @bacedaprensa: @GarceAlvaro :  Blancos defienden agravar delito de muerte a trabajadores  https://t.co/vpDxRCcvvq https://t.co/sEoKjfztEf,NONE
"RT @ElOjoChurrinche: Uruguay es ese pais del mundo donde la Ministra Comunista de ""Desarrollo Social"" y su Sub Secretaria CIERRAN Instituto…",N
"RT @robertparrado: En 5 en radio montecarlo, hablando sobre seguridad pública , hacer e incidir con saberes y compromiso
@LuisLacallePou @a…",NONE
"#BotaDeOro| Esté si es el #FotonDelDía la mirada de #Suárez a Óscar Washington Tabarez, no es la misma mirada que s… https://t.co/wpJJshTBpv",P
"RT @bacedaprensa: @SenJavierGarcia en Salto : ‘los pactos se hacen para cumplir"". #Seguridad https://t.co/aYH8N08DMm https://t.co/6K4ZuQwM60",NONE
"RT @bacedaprensa: @SenJavierGarcia en @desayunos12 : ""Los acuerdos se hacen para cumplir"". #Seguridad  https://t.co/Nh5xOezmcb https://t.co…",NONE
"RT @bacedaprensa: @gloriasaravista : El Mides nuevamente se presenta en una postura intransigente,d no diálogo https://t.co/gSYI3jp9TF http…",N
RT @PDF404: Entrevista al Dip @MartinLema404 y @ASHcomUY sobre formación del Insti. de Bienestar Animal. https://t.co/b7ddTYv6wM https://t.…,NONE
RT @gloriasaravista: @bacedaprensa @LuisLacallePou @Herrerismo @lista71 CACHON el silencio de muchos los hace cómplice de posición  Arismen…,P
RT @CUTIuy: Finaliza la elección de autoridades de @CUTIuy resultando electo @alvarolame como Presidente para el período 2016-2018 #sociosc…,NONE
"RT @_RodriguezJuan_: Culminando su gestión, @sebaft rinde cuentas de su labor como Presidente de la Junta Dptal de San José. MB Sebastián h…",NONE
"RT @suena_tremendo: Entrevista con Omar Paganini, sobre los desafíos de empresas públicas generadoras y distribuidoras de energía. https://…",NONE
"RT @Herrerismo: Los muertos de Migues no descansan en paz (edil @joselo400 pide explicaciones a la Comuna)
https://t.co/uTOJfYu5z7 https://…",NONE
"RT @NicolasLussich: ""Tenemos q reconocer buenas ideas, vengan de donde vengan. Librería digital del @impouruguay es idea de @LuisLacallePou…",P
RT @MartinLema404: Recorriendo el Hospital Pasteur para conocer los avances de las distintas obras. https://t.co/Z68PxM9vzT,NONE
RT @beatrizargimon: He solicitado que la sesión del directorio del @PNACIONAL del lunes trate como GRAVE Y URGENTE la situaciòn de Inst.Cac…,N
"RT @Herrerismo: Transporte MVD: Intendente Martínez convocado a Sala por edil @Diego__RS 
https://t.co/Sc7VahmIUB https://t.co/la2hhfdcWj",NONE
"RT @alvarolame: Un grande @AlfredoGarcia09 me hizo sentir tan cómodo que nunca pensé que pudiera decir tantos ""macho, al pedo y ta"" https:/…",P
RT @jovenes71: Hoy nos reunimos con el Edil @edildmartinez y charlamos sobre la juventud y la actualidad en Montevideo. https://t.co/w26ZXM…,NONE
RT @FabianM46475572: Felicitaciones cros de Salto arriba la 40 en todo el Pais. @SenJavierGarcia @camboue @DipRodrigoGoni @JuanCurbelo40 ht…,P
RT @Aire__Fresco: Dip @MartinLema404 reclamó que Salas de hospital listas desde 2014 no se usan https://t.co/0CoQZewjMR via @elpaisuy https…,NONE
Triste jornada para el T.Cachón. Insensibilidad por parte del Gobierno. Donde quedó el discurso de la inclusión?,N
La izquierda nos ajusta https://t.co/g6qdpChatU via @elpaisuy,N
"RT @NetgateUy: Salió el @SemanarioVoces con entrevista al fundador de Netgate @alvarolame. ""Hay tremendo talento país"", se titula. https://…",NONE
"""Vamos arriba!!!"". Leo Messi felicitó a #Suárez por su Bota de Oro, al igual que el Chino Recoba https://t.co/JkEaFHbbI0",NONE
RT @ArtuHeber: Los @jovenes404 nuevamente nos reunimos. Las comisiones informan sobre las distintas actividades q realizan https://t.co/eET…,NONE
RT @faraujo404: Mañana 8:30h el Dip @MartinLema404 estará junto a @juanechavarria de @ASHcomUY en @Buendiauruguay por @MonteCarloTV https:/…,NONE
¿Hacia dónde vamos? https://t.co/Aw8NApIOrv via @elpaisuy,NONE
RT @bacedaprensa: #Mañana a las 8 hrs  @SenJavierGarcia estará en @desayunos12 con @NoleMarroneok y equipo ! por @Teledocecom https://t.co/…,NONE
"RT @jovenes404: Si, este mes también hay reunión. Los esperamos mañana! https://t.co/1KQa6r5krF",NONE
"RT @lorenanachajon: Contra compras en el exterior hechas por el MI, sindicato vestimenta se manifiesta en el acto del pit @Subrayado https:…",NONE
"RT @martinwar: Nos inflamos por lo del tabaco, pero en pocos días tendremos venta minorista y legal de marihuana.",N
RT @crisricheri: El Senador @LuisLacallePou ha hecho propuestas q nada tiene q ver con 1 recorte de las políticas sociales sino de ahorrar…,N
RT @juanjoolaizola: Hay que quitar de la parametrica del boleto costos que el usuario no debe pagar y encarecen el precio. https://t.co/IOf…,N
RT @gloriasaravista: @bacedaprensa @LuisLacallePou @TodosUy @lista71 @PNACIONAL usuarios del Cachon reiteran carta Presidente Vazquez solic…,NONE
RT @adelgado404: Reunión de la mesa territorial de @AireFresco_404 https://t.co/1yDVWChbFQ,NONE
"RT @Herrerismo: Reunión decisiva por el Centro Cachón (@gloriasaravista, Comisión de Derechios Humanos)
https://t.co/voEJnsqd6a https://t.c…",NONE
RT @JuanMSaavedra: Genial la app del @PNACIONAL toda la info más fácil y a la mano. Disponible en Apple Store https://t.co/9KLaCDOSBh,P
"RT @graguido: Int. de Artigas Pablo Caram y las compañeras de Diseñarte, presentado la riqueza. @beatrizargimon @marianoel2014ok https://t.…",P
RT @JudithaVarela: En la reunion de la mesa territorial de la @lista404 . Acuerdos decisiones entusiasmo. @Diego__RS @PNACIONAL https://t.c…,P
"RT @GloriaInnova: CARTA ABIERTA AL PRESIDENTE VÁZQUEZ 
ENVIADA POR LOS USUARIOS DEL CACHÓN https://t.co/oksKGH4yQa",NONE
RT @joselo400: Reunido con padres de alumnos escuela rural 78 Tala por reclamo transporte escolar https://t.co/vFrbmmiuZF,NONE
RT @Juv_TODOS: Senador @LuisLacallePou convoca a Nin al Parlamento por tema Mercosur https://t.co/yc9JQdXpRX… https://t.co/YDORY29lm2,NONE
RT @FloridaIDF: Ante un marco de público; se lleva adelante el acto de inauguración de un nuevo tendido de luminarias en CASUPÁ. https://t.…,NONE
Mil millones de invisibles. https://t.co/E20abvhWkx,NONE
RT @centroquebracho: Mirá algunas primeras fotos de la velada de boxeo ! https://t.co/5f9ahmHdTP próximamente las fotos de Boffano https://…,NONE
"RT @GerardoAmarilla: En Paysandu, dando comienzo al diálogo para promover una Política Pública de Fronteras. https://t.co/eynHgi64nd",NONE
"RT @RobertSilva1971: ¿Dónde están las políticas de advertencia y disuasión? 
¡Nos comprometemos a propiciarlo desde la @ANEP_Uruguay !
http…",N
No da más https://t.co/xYxSJDavmt via @elpaisuy,N
RT @SantiagoPCampos: Laudo caso #PhilipMorris tiene gran relevancia para sistema judicial uruguayo al sostenerse que no se le denegó justic…,P
RT @LaBarra40SC: A 43años dl golpe @fundacionlamas repleta defendiendo la democracia @PNACIONAL @_PNacional_ @CarlosJulio504 https://t.co/m…,NONE
RT @bacedaprensa: @LuisLacallePou convocará a Nin Novoa al Parlamento https://t.co/1rwjyANBk4 https://t.co/WKZ7Negze2,NONE
"RT @adelgado404: En Soca, en una muy linda reunión organizada por el Grupo Lereté (Lista 400), escuchando a vecinos. @LuisLacallePou https:…",P
"RT @PGustavoSanchez: HOY| 100 años del querido Ruperto ""pocho"" Candamil un poco abuelo de todos nosotros. Salud! Por la vida! https://t.co/…",NONE
"RT @La_Pedrera: 3 días seguidos de avistajes de Delfines en el Balcón al Océano de La Pedrera. Se ven siempre, sólo que ahora avisan https:…",NONE
RT @ANiffouri400: Muy linda charla en Empalme Olmos junto a @GarceAlvaro y la barra de la 400 #la400semueve https://t.co/GXYTnLgB32,P
"RT @RichardPerezOr1: Excelente charla sobre seguridad del Dr Alvaro Garce junto a vecinos de Empalme Olmos ""se puede!!!!si estamos Todos"" h…",P
RT @OliverAgustin: Muy buena la reunión con @gbianchi404  en Progreso.  @mariamosegui400 @fperdomo400 @ANiffouri400 @LuisLacallePou https:/…,P
"RT @GSalvitano: En Casupá @g_lopezmendez ""1 obra + invirtiendo en seguridad, calidad de vida"" #alumbrado Gestión @CEnciso62 https://t.co/Bs…",NONE
"RT @La40canelones: #ahora @SenJavierGarcia cierra acto a 43 años de la caída de las instituciones, en Casa de los Lamas https://t.co/2Ri3wC…",NONE
Vamos a convocar a Nin a la comisión de Asuntos Internacionales para discutir traspaso de presidencia pro tempore del Mercosur a Venezuela.,NONE
RT @PNACIONAL: [PNTV] Jóvenes militantes reflexionan a 43 años del golpe de Estado. https://t.co/EHaWQEtwUt  @luisaheber,NONE
RT @JudithaVarela: A dos años de la creacion del observatorio por @CEFJOSEFAORIBE . Unidas hacemos la FUERZA. @veronica_alonso https://t.co…,NONE
RT @RobertSilva1971: Un deportista joven y el difícil camino de la retirada… - https://t.co/Dzh9yIm2vd via @TelescopioUy,NEU
RT @MartinLema404: ASSE sigue sin publicar datos de tiempos de espera para medicina general y especialistas. Seguiremos insistiendo. https:…,N
Luis #Suárez recibió la #Bota de Oro https://t.co/DsNOEYMKhr https://t.co/sniVNsDDkJ,NONE
RT @_elielizalde: Gracias millones @MartinLema404 por el apoyo a @ASHcomUY para lograr el cierre del zoo! #nomaszoo  https://t.co/84C7SExrzR,NONE
"RT @adrianbatllista: Nuestro proyecto tratado informado en Televisión Nacional de Uruguay
https://t.co/jRapOPzYKU vía @youtube",NONE
Una gran noticia la del juicio contra Philip Morris; felicitaciones por el profesionalismo en la defensa de nuestra posición,P
RT @TelescopioUy: #Columna Un deportista joven y el difícil camino de la retirada… → https://t.co/RePizQsPga https://t.co/hnaxULwFMk,NONE
"RT @TelescopioUy: #Columna Para vos, Graciela: Recursos para el tratamiento del dorgadicto en Uruguay → https://t.co/Q4cMWt3X9y https://t.c…",NONE
RT @ONV_INEEd: 9.Eso sucede porque el presupuesto 2016/2017 es como se muestra en la figura https://t.co/usQLoataES,NONE
"RT @RobertSilva1971: Los legisladores tienen la palabra: ayer @Ineed_uy informó sobre recortes presupuestales, el 20/07 informará ANEP que…",N
RT @TelescopioUy: #Noticias #Uruguay ganó el juicio que inició Philip Morris  https://t.co/WS5rDCyhMv https://t.co/zKonbWF6fE,NONE
https://t.co/O69GhsLzGN complicado,NONE
RT @TelescopioUy: #Tecnologia QueueTube: buscá en Youtube sin detener el video que estás viendo https://t.co/pQ02KXBYhG https://t.co/TqNOUC…,NONE
"RT @ONV_INEEd: 14. Si se aprobara el artículo respectivo de la RdeC como está, recortando 7 millones, esos programas deberían reducirse o e…",N
"RT @ONV_INEEd: 2. Entre otros Diputados, pude saludar a @Dip_ConradoRod, @pabloabdala66, @AlfredoAsti y al Diputado Sanabria, que atentamen…",NONE
"RT @grazianopascale: @PedroBordaberry más q  ""complicado"", no? Un corrupto q está en la cárcel x exigir coimas en los contratos q firmaba e…",NONE
RT @OddoneGabriel: Comparto presentación en Foro organizado x BCU.Perspectivas y retos p/ la economía y el sistema financiero regional http…,NONE
RT @solcitoap: @PedroBordaberry Favor difundir https://t.co/CswRPcE8LP,NONE
El Centro de Convenciones de Punta del Este es una de las mejores noticias para el turismo en mucho tiempo; felicitaciones!,P
"RT @TelescopioUy: #Mundo Murió Elie Wiesel, premio Nobel de la Paz  https://t.co/yNRVQemXTL https://t.co/77jq82zj7Z",NONE
"RT @jaimeclara: ""Ningún uruguayo obtuvo el relieve internacional que Eduardo Jiménez de Aréchaga alcanzó""  https://t.co/lN0hPCsVym vía @Obs…",P
RT @TelescopioUy: #Columna Mentiras Verdaderas: El aumento de las penas → https://t.co/yHeeB5XyZd https://t.co/MdOWEZiOAr,NONE
La pucha con lo que escucha Churruca - https://t.co/BeFYM0GxGD via @TelescopioUy,NONE
RT @TelescopioUy: #Columna Mentiras Verdaderas: El aumento de las penas → https://t.co/p8BiHdBrhk https://t.co/NrChRe3BFh,NONE
RT @ONV_INEEd: 1. Hoy los integrantes de la Comisión dDirectiva del @Ineed_uy estuvimos en la Comisión de Presupuesto y Hacienda de Diputad…,NONE
"RT @dannyviLe: El que avisa... 

Corrupción: revelan que Cristina amparó todo - https://t.co/RNryBToV8W https://t.co/jllOoVzCfo",N
"RT @NicolasLussich: ANCAP resolvió poner a la venta total o parcial a su empresa Carboclor SA, que fabrica productos químicos y petroquímic…",NONE
"RT @jpedrovarela: Anuncio con bombos y platillos del aumento a jubilados de...200 pesos!!!https://t.co/9dK1afQbDn. 
vergüenza ajena...",N
"""El FA debe garantizar que vota acuerdo por seguridad"" https://t.co/j82KvxiEF3 via @elpaisuy",NEU
"RT @RobertSilva1971: Para vos, Graciela: Recursos para el tratamiento del drogadicto en Uruguay - https://t.co/ScrkoFwO8a via @TelescopioUy",NONE
"RT @TelescopioUy: #Columna Para vos, Graciela: Recursos para el tratamiento del dorgadicto en Uruguay → https://t.co/sSSxZqboQx https://t.c…",NONE
RT @portalmvd: Hinchas de Irlanda abollaron un auto sin querer y dejaron dinero para repararlo https://t.co/OF5MgKmk15 https://t.co/wVHk0Lu…,P
"RT @Mediosuru: .@PedroBordaberry ""Antes de eliminar Senado habría q proponer trabajar de 1 al 30 y no parar de 15 de dic.al 1o de marzo;se…",NEU
"RT @CeciliaEguiluz: Delito de abigeato -  https://t.co/4goWFTY3D3
En el día de hoy en la Comisión de Constitución y Legislación del S... ht…",NONE
RT @TelescopioUy: #Columna Costosas regulaciones → https://t.co/iBZVC5uEsU https://t.co/ylLDBO1Fkw,NONE
"RT @guadavazquez: Otro relato q se cae: la dulce voluntaria del convento es una conocida usurera de Gral Rodríguez, mi nota en Infobae
http…",NONE
"RT @MHackem: Excelente columna de @PedroBordaberry , realista, y ojalá sea reversible la situación, por el país!  https://t.co/DMl1LyKdKa",P
RT @TelescopioUy: #Columna 2017 Año internacional del desarrollo del turismo sostenible → https://t.co/8ZN2p8Il7L https://t.co/nZ2KUsi8eY,NONE
Hace un mes dijeron déficit era este El déficit fiscal sube a 4% del PIB y es el más alto en 13 años | https://t.co/H2sRwltr3f,N
"Es acertado, muy acertado, ir por la Alianza del Pacífico; hace bien el gobierno y la cancillería en hacerlo",P
Duele Bagdad; sigue doliendo cada día más el mundo,N
"RT @enperspectivauy: Empieza la entrevista sobre la creación de un servicio descentralizado para las cárceles con Guillermo Maciel, asesor…",NONE
RT @DipGraciela: Reunión con vecinos  acosados x robos Villa Taliche y alrededores. https://t.co/ypKee3bJ1j,NONE
RT @pelabonzo: Elnuruguayo Juan Alvarez campeon en #Brasil #86edicion #AbiertoAmateur @BuenGolfTour,NONE
"RT @RomanaFerrer: Comparto #Tips #Tecnologia » Gorgias, crea y guardá plantillas de correo para tu Gmail + Chrome - https://t.co/WR7GnjReIu…",NONE
RT @TelescopioUy: #Columna La política actual → https://t.co/Q6UafjeeIW https://t.co/jg1kfEfTlb,NONE
RT @elmundoes: En el Día del Español recordamos nuestro especial sobre Cervantes #DíaE https://t.co/WDxrDcrbxh https://t.co/EXQDGU9doU,NONE
"RT @elpaisuy: Leve mejora del déficit fiscal, en año a mayo se ubicó en 3,7% del PIB #ElPaísNegocios - 
https://t.co/7re7S1WQmS https://t.c…",P
